MIRNA	HOST	HOST_EXPR	HOST_TC	TARGET	TAR_EXPR	TAR_TC	DELTAG
hsa-miR-335-5p	RP11-2E11.6	0.1	1	ZC3H11B	0.1	1	-10.94
hsa-miR-335-5p	RP11-2E11.6	0.1	1	RGPD1	0.0	4	-17.06
hsa-miR-335-5p	RP11-2E11.6	0.1	1	LMTK2	4.0	2	-10.37
hsa-miR-335-5p	RP11-2E11.6	0.1	1	URB1	3.0	3	-13.48
hsa-miR-335-5p	RP11-2E11.6	0.1	1	LEPR	0.4	9	-6.91
hsa-miR-335-5p	RP11-2E11.6	0.1	1	FAM198B	2.0	9	-9.46
hsa-miR-335-5p	RP11-2E11.6	0.1	1	MCPH1	2.0	7	-11.72
hsa-miR-335-5p	RP11-2E11.6	0.1	1	PDP1	2.0	10	-9.4
hsa-miR-335-5p	RP11-2E11.6	0.1	1	FAM124B	0.1	3	-9.56
hsa-miR-335-5p	RP11-2E11.6	0.1	1	TNKS2	8.0	1	-7.42
hsa-miR-335-5p	RP11-2E11.6	0.1	1	ARHGAP21	4.0	17	-7.45
hsa-miR-335-5p	RP11-2E11.6	0.1	1	GFPT1	9.0	4	-7.88
hsa-miR-335-5p	RP11-2E11.6	0.1	1	RUNX2	0.2	11	-9.93
hsa-miR-335-5p	RP11-2E11.6	0.1	1	KRT5	0.7	11	-6.96
hsa-miR-335-5p	RP11-2E11.6	0.1	1	ZNF148	2.0	11	-11.6
hsa-miR-335-5p	RP11-2E11.6	0.1	1	IL6ST	9.0	15	-15.82
hsa-miR-335-5p	RP11-2E11.6	0.1	1	OR8D2	0.0	1	-8.27
hsa-miR-335-5p	RP11-2E11.6	0.1	1	ARHGEF4	5.0	17	-8.61
hsa-miR-335-5p	RP11-2E11.6	0.1	1	DDN	0.0	1	-8.85
hsa-miR-335-5p	RP11-2E11.6	0.1	1	HECTD1	6.0	19	-12.46
hsa-miR-335-5p	RP11-2E11.6	0.1	1	CA5A	0.2	3	-14.85
hsa-miR-335-5p	RP11-2E11.6	0.1	1	LRCH2	0.1	2	-8.81
hsa-miR-335-5p	RP11-2E11.6	0.1	1	ALDH8A1	0.3	6	-11.52
hsa-miR-335-5p	RP11-2E11.6	0.1	1	SBF2	0.8	15	-12.78
hsa-miR-335-5p	RP11-2E11.6	0.1	1	SLC22A16	0.0	8	-7.36
hsa-miR-335-5p	RP11-2E11.6	0.1	1	CDK18	5.0	23	-8.43
hsa-miR-335-5p	RP11-2E11.6	0.1	1	ATP10D	2.0	7	-9.59
hsa-miR-335-5p	RP11-2E11.6	0.1	1	B4GALT6	0.4	5	-9.94
hsa-miR-335-5p	RP11-2E11.6	0.1	1	AFF4	5.0	9	-14.0
hsa-miR-335-5p	RP11-2E11.6	0.1	1	JMY	3.0	2	-12.45
hsa-miR-335-5p	RP11-2E11.6	0.1	1	MLLT4	10.0	22	-12.24
hsa-miR-335-5p	RP11-2E11.6	0.1	1	NPAS2	4.0	12	-12.82
hsa-miR-335-5p	RP11-2E11.6	0.1	1	FAM120B	4.0	5	-10.78
hsa-miR-335-5p	RP11-2E11.6	0.1	1	GCNT2	0.4	17	-12.79
hsa-miR-335-5p	RP11-2E11.6	0.1	1	SCN1B	2.0	5	-9.02
hsa-miR-335-5p	RP11-2E11.6	0.1	1	KRTAP10-4	0.0	1	-9.92
hsa-miR-335-5p	RP11-2E11.6	0.1	1	CARNS1	0.7	7	-7.23
hsa-miR-335-5p	RP11-2E11.6	0.1	1	ATP9A	6.0	3	-13.55
hsa-miR-335-5p	RP11-2E11.6	0.1	1	CHL1	0.2	16	-10.84
hsa-miR-335-5p	RP11-2E11.6	0.1	1	TRPC1	0.6	5	-9.2
hsa-miR-335-5p	RP11-2E11.6	0.1	1	CDH3	0.3	10	-8.34
hsa-miR-335-5p	RP11-2E11.6	0.1	1	KCNC1	0.0	4	-8.6
hsa-miR-335-5p	RP11-2E11.6	0.1	1	TAF8	1.0	10	-14.34
hsa-miR-335-5p	RP11-2E11.6	0.1	1	SLC34A2	2.0	6	-15.93
hsa-miR-335-5p	RP11-2E11.6	0.1	1	HECTD2	1.0	6	-8.29
hsa-miR-335-5p	RP11-2E11.6	0.1	1	RBP1	40.0	7	-16.06
hsa-miR-335-5p	RP11-2E11.6	0.1	1	TIMP3	32.0	1	-8.1
hsa-miR-335-5p	RP11-2E11.6	0.1	1	TFAP4	2.0	7	-13.45
hsa-miR-335-5p	RP11-2E11.6	0.1	1	DEFB126	0.0	2	-9.14
hsa-miR-335-5p	RP11-2E11.6	0.1	1	FOXA3	13.0	2	-12.39
hsa-miR-335-5p	RP11-2E11.6	0.1	1	COPA	18.0	7	-14.65
hsa-miR-335-5p	RP11-2E11.6	0.1	1	SPO11	0.0	5	-10.29
hsa-miR-335-5p	RP11-2E11.6	0.1	1	LAMB1	21.0	13	-11.37
hsa-miR-335-5p	RP11-2E11.6	0.1	1	ABCG8	0.0	1	-7.14
hsa-miR-335-5p	RP11-2E11.6	0.1	1	ARHGAP12	7.0	10	-13.34
hsa-miR-335-5p	RP11-2E11.6	0.1	1	SRGAP1	0.9	7	-13.14
hsa-miR-335-5p	RP11-2E11.6	0.1	1	ZPBP2	0.0	4	-11.25
hsa-miR-335-5p	RP11-2E11.6	0.1	1	RALGPS2	1.0	9	-11.99
hsa-miR-335-5p	RP11-2E11.6	0.1	1	TMEM159	3.0	9	-9.61
hsa-miR-335-5p	RP11-2E11.6	0.1	1	FICD	4.0	5	-10.05
hsa-miR-335-5p	RP11-2E11.6	0.1	1	NANOG	0.1	4	-9.46
hsa-miR-335-5p	RP11-2E11.6	0.1	1	BHLHE41	2.0	3	-8.45
hsa-miR-335-5p	RP11-2E11.6	0.1	1	CLDN7	21.0	8	-8.91
hsa-miR-335-5p	RP11-2E11.6	0.1	1	GSE1	9.0	12	-7.43
hsa-miR-335-5p	RP11-2E11.6	0.1	1	FNDC3B	4.0	12	-11.15
hsa-miR-335-5p	RP11-2E11.6	0.1	1	USP44	0.8	8	-7.73
hsa-miR-335-5p	RP11-2E11.6	0.1	1	PELI2	8.0	3	-12.34
hsa-miR-335-5p	RP11-2E11.6	0.1	1	CELF4	0.4	23	-13.09
hsa-miR-335-5p	RP11-2E11.6	0.1	1	PDCD4	141.0	11	-8.34
hsa-miR-335-5p	RP11-2E11.6	0.1	1	DNASE2B	0.0	2	-12.44
hsa-miR-335-5p	RP11-2E11.6	0.1	1	SLC13A4	0.4	7	-12.54
hsa-miR-335-5p	RP11-2E11.6	0.1	1	MESDC1	4.0	1	-13.67
hsa-miR-335-5p	RP11-2E11.6	0.1	1	TUBGCP6	17.0	8	-8.96
hsa-miR-335-5p	RP11-2E11.6	0.1	1	SLC22A2	0.0	6	-10.48
hsa-miR-335-5p	RP11-2E11.6	0.1	1	RCSD1	0.4	6	-11.98
hsa-miR-335-5p	RP11-2E11.6	0.1	1	MARCH11	0.2		-7.21
hsa-miR-335-5p	RP11-2E11.6	0.1	1	POLD4	6.0	12	-7.49
hsa-miR-335-5p	RP11-2E11.6	0.1	1	PPM1E	0.1	1	-13.75
hsa-miR-335-5p	RP11-2E11.6	0.1	1	PLLP	4.0	5	-6.88
hsa-miR-335-5p	RP11-2E11.6	0.1	1	ADCY7	0.3	15	-9.69
hsa-miR-335-5p	RP11-2E11.6	0.1	1	GUCY1A2	0.8	3	-13.42
hsa-miR-335-5p	RP11-2E11.6	0.1	1	HOOK1	7.0	6	-8.79
hsa-miR-335-5p	RP11-2E11.6	0.1	1	FBN2	0.0	9	-12.3
hsa-miR-335-5p	RP11-2E11.6	0.1	1	ZFP28	1.0	5	-7.39
hsa-miR-335-5p	RP11-2E11.6	0.1	1	RGS13	0.0	4	-13.54
hsa-miR-335-5p	RP11-2E11.6	0.1	1	NDP	0.0	2	-9.35
hsa-miR-335-5p	RP11-2E11.6	0.1	1	ZPLD1	0.0	4	-9.78
hsa-miR-335-5p	RP11-2E11.6	0.1	1	ABCB9	0.3	21	-10.41
hsa-miR-335-5p	RP11-2E11.6	0.1	1	CCND2	8.0	4	-9.07
hsa-miR-335-5p	RP11-2E11.6	0.1	1	JAK2	2.0	3	-8.24
hsa-miR-335-5p	RP11-2E11.6	0.1	1	IAPP	9.0	5	-11.17
hsa-miR-335-5p	RP11-2E11.6	0.1	1	RALGAPA2	5.0	6	-14.83
hsa-miR-335-5p	RP11-2E11.6	0.1	1	ZNF37A	3.0	5	-12.55
hsa-miR-335-5p	RP11-2E11.6	0.1	1	HSPA1B	7.0	2	-11.35
hsa-miR-335-5p	RP11-2E11.6	0.1	1	SRRM2-AS1	0.2	5	-12.34
hsa-miR-335-5p	RP11-2E11.6	0.1	1	RASA4B	0.4	7	-8.8
hsa-miR-335-5p	RP11-2E11.6	0.1	1	REEP3	3.0	2	-8.43
hsa-miR-335-5p	RP11-2E11.6	0.1	1	CD5L	0.0	2	-6.89
hsa-miR-335-5p	RP11-2E11.6	0.1	1	MLXIP	16.0	11	-9.11
hsa-miR-335-5p	RP11-2E11.6	0.1	1	ACSS3	0.4	8	-10.15
hsa-miR-335-5p	RP11-2E11.6	0.1	1	TRRAP	3.0	7	-14.13
hsa-miR-335-5p	RP11-2E11.6	0.1	1	PPP1R10	11.0	7	-7.14
hsa-miR-335-5p	RP11-2E11.6	0.1	1	MAP1LC3B	6.0	9	-8.07
hsa-miR-335-5p	RP11-2E11.6	0.1	1	KRT4	1.0	5	-8.74
hsa-miR-335-5p	RP11-2E11.6	0.1	1	MUC15	1.0	5	-9.02
hsa-miR-335-5p	RP11-2E11.6	0.1	1	RXFP3	0.0	1	-12.84
hsa-miR-335-5p	RP11-2E11.6	0.1	1	MGAT4A	7.0	9	-11.0
hsa-miR-335-5p	RP11-2E11.6	0.1	1	RNF213	4.0	20	-12.9
hsa-miR-335-5p	RP11-2E11.6	0.1	1	HPDL	0.1	1	-8.07
hsa-miR-335-5p	RP11-2E11.6	0.1	1	ACSL5	2.0	9	-12.67
hsa-miR-335-5p	RP11-2E11.6	0.1	1	TMEM239	0.0	2	-14.8
hsa-miR-335-5p	RP11-2E11.6	0.1	1	LTN1	4.0	7	-8.66
hsa-miR-335-5p	RP11-2E11.6	0.1	1	GABRQ	0.0	1	-8.78
hsa-miR-335-5p	RP11-2E11.6	0.1	1	KDM4C	2.0	14	-13.41
hsa-miR-335-5p	RP11-2E11.6	0.1	1	AMHR2	1.0	7	-13.18
hsa-miR-335-5p	RP11-2E11.6	0.1	1	TNFSF9	0.0	1	-8.74
hsa-miR-335-5p	RP11-2E11.6	0.1	1	HMGCLL1	0.2	9	-12.21
hsa-miR-335-5p	RP11-2E11.6	0.1	1	ECE1	25.0	13	-8.48
hsa-miR-335-5p	RP11-2E11.6	0.1	1	RDH5	0.5	11	-17.37
hsa-miR-335-5p	RP11-2E11.6	0.1	1	XKR4	0.1	3	-13.16
hsa-miR-335-5p	RP11-2E11.6	0.1	1	CCR9	0.0	5	-15.9
hsa-miR-335-5p	RP11-2E11.6	0.1	1	MARCKSL1	10.0	1	-10.93
hsa-miR-335-5p	RP11-2E11.6	0.1	1	KLHL4	0.0	2	-9.82
hsa-miR-335-5p	RP11-2E11.6	0.1	1	NFIL3	8.0	1	-10.01
hsa-miR-335-5p	RP11-2E11.6	0.1	1	VPS9D1	4.0	8	-8.58
hsa-miR-335-5p	RP11-2E11.6	0.1	1	SHOC2	4.0	7	-12.27
hsa-miR-335-5p	RP11-2E11.6	0.1	1	NFKBIZ	9.0	11	-9.2
hsa-miR-335-5p	RP11-2E11.6	0.1	1	ANXA11	15.0	10	-9.0
hsa-miR-335-5p	RP11-2E11.6	0.1	1	CHI3L2	0.1	17	-8.58
hsa-miR-335-5p	RP11-2E11.6	0.1	1	MKNK2	52.0	13	-9.07
hsa-miR-335-5p	RP11-2E11.6	0.1	1	SIGLEC8	0.1	4	-7.04
hsa-miR-335-5p	RP11-2E11.6	0.1	1	SASH1	2.0	4	-11.45
hsa-miR-335-5p	RP11-2E11.6	0.1	1	SHROOM4	0.3	5	-9.26
hsa-miR-335-5p	RP11-2E11.6	0.1	1	COG3	8.0	7	-9.46
hsa-miR-335-5p	RP11-2E11.6	0.1	1	WFDC3	0.1	13	-14.39
hsa-miR-335-5p	RP11-2E11.6	0.1	1	NTN4	11.0	7	-9.26
hsa-miR-335-5p	RP11-2E11.6	0.1	1	EGFR	4.0	11	-11.05
hsa-miR-335-5p	RP11-2E11.6	0.1	1	C14orf28	1.0	4	-8.36
hsa-miR-335-5p	RP11-2E11.6	0.1	1	UGCG	5.0	5	-10.99
hsa-miR-335-5p	RP11-2E11.6	0.1	1	SCN3A	0.1	8	-15.75
hsa-miR-335-5p	RP11-2E11.6	0.1	1	CHST6	0.1	2	-13.18
hsa-miR-335-5p	RP11-2E11.6	0.1	1	PPM1H	1.0	5	-11.78
hsa-miR-335-5p	RP11-2E11.6	0.1	1	TIAM1	0.3	6	-13.54
hsa-miR-335-5p	RP11-2E11.6	0.1	1	HSD17B7	2.0	10	-9.45
hsa-miR-335-5p	RP11-2E11.6	0.1	1	MS4A2	0.2	4	-9.08
hsa-miR-335-5p	RP11-2E11.6	0.1	1	ZFP2	1.0	5	-9.23
hsa-miR-335-5p	RP11-2E11.6	0.1	1	WDFY4	0.1	7	-12.34
hsa-miR-335-5p	RP11-2E11.6	0.1	1	YPEL5	10.0	10	-9.19
hsa-miR-335-5p	RP11-2E11.6	0.1	1	CYP2F1	0.0	6	-11.94
hsa-miR-335-5p	RP11-2E11.6	0.1	1	ASB1	3.0	9	-15.84
hsa-miR-335-5p	RP11-2E11.6	0.1	1	LRRC19	0.1	2	-12.61
hsa-miR-335-5p	RP11-2E11.6	0.1	1	LRRC4	0.1	4	-11.36
hsa-miR-335-5p	RP11-2E11.6	0.1	1	CALHM3	0.2	1	-7.09
hsa-miR-335-5p	RP11-2E11.6	0.1	1	ACSL1	8.0	12	-13.57
hsa-miR-335-5p	RP11-2E11.6	0.1	1	VPS13B	2.0	12	-9.64
hsa-miR-335-5p	RP11-2E11.6	0.1	1	AMY1B	4.0	5	-19.08
hsa-miR-335-5p	RP11-2E11.6	0.1	1	FAM49A	0.7	5	-9.01
hsa-miR-335-5p	RP11-2E11.6	0.1	1	NUTM1	0.0	4	-9.73
hsa-miR-335-5p	RP11-2E11.6	0.1	1	LYPD3	0.3	4	-9.29
hsa-miR-335-5p	RP11-2E11.6	0.1	1	RAB11FIP1	12.0	6	-7.96
hsa-miR-335-5p	RP11-2E11.6	0.1	1	SQSTM1	19.0	16	-8.61
hsa-miR-335-5p	RP11-2E11.6	0.1	1	MEOX2	0.5	1	-9.02
hsa-miR-335-5p	RP11-2E11.6	0.1	1	PDE5A	3.0	12	-13.89
hsa-miR-335-5p	RP11-2E11.6	0.1	1	VSTM2L	0.7	3	-8.18
hsa-miR-335-5p	RP11-2E11.6	0.1	1	KIAA1328	1.0	12	-13.1
hsa-miR-335-5p	RP11-2E11.6	0.1	1	CCDC146	1.0	9	-14.28
hsa-miR-335-5p	RP11-2E11.6	0.1	1	SGK223	1.0	2	-7.87
hsa-miR-335-5p	RP11-2E11.6	0.1	1	CCSAP	0.9	4	-7.52
hsa-miR-335-5p	RP11-2E11.6	0.1	1	TBATA	0.0	3	-9.66
hsa-miR-335-5p	RP11-2E11.6	0.1	1	ULK1	23.0	7	-11.06
hsa-miR-335-5p	RP11-2E11.6	0.1	1	KIAA0319L	9.0	20	-13.57
hsa-miR-335-5p	RP11-2E11.6	0.1	1	OR5E1P	0.0	1	-9.22
hsa-miR-335-5p	RP11-2E11.6	0.1	1	ZNF157	0.1	1	-8.09
hsa-miR-335-5p	RP11-2E11.6	0.1	1	TAF1	3.0	20	-9.76
hsa-miR-335-5p	RP11-2E11.6	0.1	1	LPIN1	2.0	19	-8.6
hsa-miR-335-5p	RP11-2E11.6	0.1	1	TSC1	5.0	8	-11.72
hsa-miR-335-5p	RP11-2E11.6	0.1	1	SCGB1D1	0.0	1	-12.34
hsa-miR-335-5p	RP11-2E11.6	0.1	1	GPR37	0.6	1	-8.66
hsa-miR-335-5p	RP11-2E11.6	0.1	1	ZNF597	0.6	1	-11.06
hsa-miR-335-5p	RP11-2E11.6	0.1	1	ATP7A	1.0	3	-11.31
hsa-miR-335-5p	RP11-2E11.6	0.1	1	PTPN14	1.0	5	-12.69
hsa-miR-335-5p	RP11-2E11.6	0.1	1	ZNF800	2.0	8	-14.15
hsa-miR-335-5p	RP11-2E11.6	0.1	1	ZNF563	0.6	4	-9.17
hsa-miR-335-5p	RP11-2E11.6	0.1	1	SH2D6	1.0	9	-8.43
hsa-miR-335-5p	RP11-2E11.6	0.1	1	TBC1D8	12.0	10	-15.21
hsa-miR-335-5p	RP11-2E11.6	0.1	1	PER1	19.0	19	-12.92
hsa-miR-335-5p	RP11-2E11.6	0.1	1	KLHL15	1.0	1	-13.57
