Gene ID	Gene Name	HUP-T4	KLM-1	MIA Paca-2	PK-45H	PK-45P	PK-59	PK-8	TCC-PAN2	YAPC
ENSG00000004866	ST7	2	4	3	4	6	3	3	4	4
ENSG00000004897	CDC27	20	16	26	17	17	11	9	10	18
ENSG00000004939	SLC4A1				0.1		0.1		0.1	0.1
ENSG00000004948	CALCR									0.1
ENSG00000004961	HCCS	9	19	28	15	16	14	8	11	16
ENSG00000004975	DVL2	8	8	9	11	8	7	7	5	6
ENSG00000005001	PRSS22	15	18		0.2	14	27	11	2	39
ENSG00000005007	UPF1	26	17	16	18	23	30	27	25	23
ENSG00000005020	SKAP2	36	19	25	21	38	24	24	29	14
ENSG00000005022	SLC25A5	361	409	492	242	232	286	462	140	386
ENSG00000005059	CCDC109B	6	4	9	4	4	4	3	1	4
ENSG00000005073	HOXA11	10	0.1	0.6	4	0.6	0.3	3	4	0.9
ENSG00000005075	POLR2J	18	29	19	29	38	27	24	40	37
ENSG00000005100	DHX33	9	12	19	13	10	12	11	6	4
ENSG00000005102	MEOX1		1	0.1			2			2
ENSG00000005108	THSD7A	0.3	0.1		0.1				1	0.1
ENSG00000005156	LIG3	3	3	8	3	2	3	2	2	3
ENSG00000005175	RPAP3	7	14	8	8	7	7	8	6	8
ENSG00000005187	ACSM3	0.4	0.7	0.1	0.2	0.2	0.9	0.1	0.6	2
ENSG00000005189	AC004381.6	2	2	3	2	4	3	2	4	2
ENSG00000005194	CIAPIN1	11	26	26	18	25	16	27	23	11
ENSG00000005206	SPPL2B	5	4	5	6	5	4	4	7	4
ENSG00000005238	FAM214B	3	5	2	4	9	4	3	6	4
ENSG00000005243	COPZ2	0.5	1	3	3	12	0.7	0.4	5	1
ENSG00000005249	PRKAR2B	0.2	3	15	0.3	0.2	0.3	0.1	0.6	0.9
ENSG00000005302	MSL3	2	5	6	4	4	7	2	1	4
ENSG00000005339	CREBBP	8	8	8	6	17	6	11	12	7
ENSG00000005379	BZRAP1									1
ENSG00000005421	PON1									0.5
ENSG00000005436	GCFC2	2	5	9	3	2	3	2	3	2
ENSG00000005448	WDR54	7	24	14	11	8	7	13	4	11
ENSG00000005469	CROT	1	5	2	3	3	2	6	1	5
ENSG00000005483	KMT2E	8	5	11	10	17	7	6	9	5
ENSG00000005486	RHBDD2	10	30	27	26	47	19	24	34	67
ENSG00000005513	SOX8	0.2	0.3	3	0.6		0.1	0.7		0.2
ENSG00000005700	IBTK	13	6	17	8	8	9	4	11	9
ENSG00000005801	ZNF195	6	3	3	4	2	5	6	4	6
ENSG00000005810	MYCBP2	3	3	4	6	13	4	5	4	3
ENSG00000005812	FBXL3	7	4	3	5	11	8	3	9	6
ENSG00000005844	ITGAL	0.1	0.2					0.1	0.1	
ENSG00000005882	PDK2	3	5	2	4	2	5	1	3	8
ENSG00000005884	ITGA3	70	63	38	62	170	63	122	218	80
ENSG00000005889	ZFX	2	6	7	3	4	8	2	2	3
ENSG00000005893	LAMP2	24	39	30	61	35	25	26	10	20
ENSG00000005961	ITGA2B	0.2	0.7	0.1	0.1	0.1	0.2			0.1
ENSG00000005981	ASB4									0.2
ENSG00000006007	GDE1	21	20	13	26	35	19	30	9	48
ENSG00000006015	C19orf60	5	4	2	8	5	8	5	9	9
ENSG00000006016	CRLF1	0.7	0.8	12	0.9	0.6	0.6	2	1	4
ENSG00000006025	OSBPL7	20	3	0.3	5	4	8	4	5	5
ENSG00000006042	TMEM98	0.7	2		0.2		0.1	0.1	0.1	4
ENSG00000006047	YBX2		6			0.2	0.1	0.1	0.1	0.1
ENSG00000006059	KRT33A	0.1	0.2					0.1		
ENSG00000006062	MAP3K14	5	10	7	12	10	7	4	12	4
ENSG00000006071	ABCC8									0.1
ENSG00000006118	TMEM132A	10	16	5	19	10	16	15	1	9
ENSG00000006125	AP2B1	73	54	167	109	110	61	52	51	89
ENSG00000006128	TAC1									0.1
ENSG00000006194	ZNF263	3	5	3	3	6	3	4	6	4
ENSG00000006210	CX3CL1	0.5	11	0.4	2		0.1		0.1	26
ENSG00000006282	SPATA20	10	13	11	11	10	8	4	30	29
ENSG00000006283	CACNA1G				0.2	0.7			0.1	0.1
ENSG00000006327	TNFRSF12A	54	62	10	54	143	62	125	250	87
ENSG00000006377	DLX6		1	0.4						0.9
ENSG00000006432	MAP3K9	3	4	0.8	3	10	5	10	4	3
ENSG00000006451	RALA	20	18	15	28	23	38	16	37	18
ENSG00000006453	BAIAP2L1	27	21	7	14	34	19	26	22	34
ENSG00000006459	KDM7A	2	1	1	1	0.6	0.7	0.4	0.2	0.5
ENSG00000006468	ETV1	0.8	3	4	6	8	0.6	0.2	4	4
ENSG00000006530	AGK	3	6	9	7	4	3	6	4	5
ENSG00000006534	ALDH3B1	33	3	3	8	17	11	4	63	14
ENSG00000006555	TTC22	5	1		0.3	0.3	7	2	3	3
ENSG00000006576	PHTF2	4	5	12	14	4	4	4	2	3
ENSG00000006606	CCL26		3		0.2	1	0.3	0.1	0.7	
ENSG00000006607	FARP2	7	3	7	3	3	2	3	4	3
ENSG00000006611	USH1C		0.1						48	0.1
ENSG00000006625	GGCT	29	64	40	38	32	33	41	24	39
ENSG00000006634	DBF4	6	9	12	11	13	9	7	8	8
ENSG00000006638	TBXA2R	0.1	0.3	1	1	1	0.7	0.2	0.8	0.2
ENSG00000006652	IFRD1	3	6	6	14	10	6	7	4	6
ENSG00000006695	COX10	7	8	10	5	6	5	7	6	4
ENSG00000006704	GTF2IRD1	5	4	7	8	8	5	4	6	7
ENSG00000006712	PAF1	23	26	27	33	24	46	53	37	63
ENSG00000006715	VPS41	8	11	8	15	12	9	7	6	10
ENSG00000006740	ARHGAP44	3	0.4	1	0.2	0.1	0.1	0.2	0.1	0.1
ENSG00000006744	ELAC2	12	15	25	25	17	18	19	13	10
ENSG00000006747	SCIN	0.4	0.7				0.3		0.2	22
ENSG00000006756	ARSD	4	8	7	2	4	2		6	11
ENSG00000006757	PNPLA4	1	5		2	2	11	4	1	5
ENSG00000006831	ADIPOR2	21	35	34	26	22	22	16	9	17
ENSG00000006837	CDKL3	0.2	0.4	0.5	0.2	0.1	0.3	0.1	0.2	0.3
ENSG00000007038	PRSS21	0.4	6			0.1			0.2	7
ENSG00000007047	MARK4	4	4	7	5	5	7	4	3	3
ENSG00000007062	PROM1	12								2
ENSG00000007080	CCDC124	35	27	37	45	48	54	50	67	33
ENSG00000007168	PAFAH1B1	16	15	24	22	26	17	12	13	14
ENSG00000007202	KIAA0100	60	27	40	46	27	18	29	20	37
ENSG00000007237	GAS7		0.5		0.1		0.3		0.1	0.2
ENSG00000007255	TRAPPC6A	9	10	11	9	16	16	10	15	34
ENSG00000007264	MATK		3	3			0.2	2	0.1	
ENSG00000007306	CEACAM7	0.7	0.1				0.1	0.3		
ENSG00000007312	CD79B		0.1	0.1						0.2
ENSG00000007314	SCN4A									0.1
ENSG00000007341	ST7L	1	1	2	1	0.9	2	2	1	0.8
ENSG00000007372	PAX6	0.8	0.4	2	1	0.3	0.2	0.2	0.7	0.6
ENSG00000007376	RPUSD1	12	21	6	13	21	14	28	26	5
ENSG00000007384	RHBDF1	8	12	2	13	19	13	5	20	5
ENSG00000007392	LUC7L	4	6	3	6	6	4	4	8	2
ENSG00000007402	CACNA2D2	0.1	0.3	0.5	0.1	0.2	0.3	0.1		0.1
ENSG00000007516	BAIAP3	0.7	1	2	0.5	0.2	0.9	0.8	2	0.7
ENSG00000007520	TSR3	28	35	18	36	64	31	49	89	13
ENSG00000007541	PIGQ	4	8	3	7	14	3	9	15	4
ENSG00000007545	CRAMP1	3	2	2	3	5	2	2	3	0.8
ENSG00000007866	TEAD3	12	18	7	8	15	17	15	20	16
ENSG00000007923	DNAJC11	12	22	20	14	8	17	17	11	7
ENSG00000007933	FMO3				0.1					
ENSG00000007944	MYLIP	6	3	4	3	5	4	8	6	6
ENSG00000007952	NOX1	0.3	0.2	0.3	0.1	0.2	0.2	0.1	0.2	0.4
ENSG00000007968	E2F2	6	4	3	4	3	3	3	2	2
ENSG00000008018	PSMB1	56	73	97	60	48	65	64	101	64
ENSG00000008056	SYN1		0.8	0.6		0.1	0.6		0.8	0.1
ENSG00000008083	JARID2	4	9	2	7	14	6	10	3	2
ENSG00000008086	CDKL5	1	1	1	0.9	0.5	0.6	0.4	0.1	0.3
ENSG00000008118	CAMK1G	0.1		1				0.1		
ENSG00000008128	CDK11A	4	3	2	4	0.9	3	2	2	1
ENSG00000008130	NADK	22	13	15	18	12	18	14	15	15
ENSG00000008226	DLEC1	0.3			0.1		0.1	0.1	0.2	0.1
ENSG00000008256	CYTH3	19	16	7	14	8	14	12	6	7
ENSG00000008277	ADAM22	0.6	0.2	2	1	0.1	0.2	0.5	0.1	0.1
ENSG00000008282	SYPL1	48	46	49	59	88	70	84	70	83
ENSG00000008283	CYB561	30	22	10	13	18	15	21	26	34
ENSG00000008294	SPAG9	17	11	29	18	15	12	11	16	8
ENSG00000008300	CELSR3	2	4	0.8	9	7	0.5	13	3	0.3
ENSG00000008311	AASS	3	2	0.9	6	2	0.1	1	0.2	0.8
ENSG00000008323	PLEKHG6	8	14	1	0.3	0.7	3	5	0.8	7
ENSG00000008324	SS18L2	11	8	10	7	5	13	6	7	7
ENSG00000008382	MPND	6	3	3	5	4	2	5	3	6
ENSG00000008394	MGST1	16	10	12	35	40	1	8	15	8
ENSG00000008405	CRY1	8	5	4	8	6	7	2	8	4
ENSG00000008438	PGLYRP1	0.2	0.2	0.1	0.1	0.1	0.3	0.1	0.3	
ENSG00000008441	NFIX	9	2	26	27	61	1	4	17	2
ENSG00000008513	ST3GAL1	6	17	0.1	5	4	21	13	36	7
ENSG00000008516	MMP25	0.1	0.2	0.2	2	0.5	0.3	0.1	0.2	0.2
ENSG00000008517	IL32	21	10	0.4	38	12	14	0.3	6	3
ENSG00000008710	PKD1	3	3	5	5	9	3	4	6	2
ENSG00000008735	MAPK8IP2	0.3	2	2	1	1	2	0.3	0.3	0.4
ENSG00000008838	MED24	18	23	15	12	15	10	11	12	11
ENSG00000008853	RHOBTB2	3	8	4	4	6	12	9	3	3
ENSG00000008869	HEATR5B	5	4	5	4	4	4	3	3	3
ENSG00000008952	SEC62	18	15	25	20	18	10	18	26	17
ENSG00000008988	RPS20	124	231	207	161	73	179	70	173	261
ENSG00000009307	CSDE1	111	120	154	54	53	98	93	54	65
ENSG00000009335	UBE3C	24	15	28	26	31	21	18	22	23
ENSG00000009413	REV3L	2	2	5	5	3	2	2	2	2
ENSG00000009709	PAX7	0.1	1					5		0.2
ENSG00000009724	MASP2	0.2	0.2	0.3	0.3	0.1	0.2	0.1	0.1	0.1
ENSG00000009765	IYD	0.1							0.1	0.1
ENSG00000009780	FAM76A	1	2	2	2	1	1	1	1	1
ENSG00000009790	TRAF3IP3							0.1		
ENSG00000009830	POMT2	2	4	3	4	4	4	6	3	4
ENSG00000009844	VTA1	9	10	11	10	7	9	9	5	8
ENSG00000009950	MLXIPL	0.1	0.9	2	0.6	0.4	0.7	0.6	0.3	1
ENSG00000009954	BAZ1B	27	30	71	66	53	35	31	39	37
ENSG00000010017	RANBP9	21	15	20	19	18	17	15	15	9
ENSG00000010030	ETV7	4	1		0.5	0.2	0.1	0.1	0.2	4
ENSG00000010072	SPRTN	3	3	3	2	3	2	2	2	2
ENSG00000010165	METTL13	26	17	19	13	20	9	17	18	10
ENSG00000010219	DYRK4	1	2	2	1	0.8	0.8	1	0.3	1
ENSG00000010244	ZNF207	18	13	15	11	12	11	12	13	14
ENSG00000010256	UQCRC1	41	78	52	46	34	72	165	56	52
ENSG00000010270	STARD3NL	4	8	8	17	15	5	8	10	12
ENSG00000010278	CD9	94	138	43	103	112	55	81	40	147
ENSG00000010292	NCAPD2	52	90	120	105	67	41	45	20	29
ENSG00000010295	IFFO1	1	0.3		0.1	0.1	0.1		0.1	
ENSG00000010310	GIPR	0.4	0.3	0.8	0.4	0.5	0.6	0.3	5	0.4
ENSG00000010318	PHF7	0.9	0.5	3	2	0.6	4	2	1	0.7
ENSG00000010319	SEMA3G	0.4	0.1	0.4	0.1		0.1			0.1
ENSG00000010322	NISCH	8	5	7	10	3	10	14	6	4
ENSG00000010361	FUZ	3	0.1	6	0.8	2	4	0.8	3	2
ENSG00000010379	SLC6A13		0.1	0.2	0.1					
ENSG00000010404	IDS	7	21	6	23	13	5	8	2	18
ENSG00000010438	PRSS3	24	1	0.1	13	3	30	33	79	0.1
ENSG00000010539	ZNF200	1	3	1	1	2	1	2	2	3
ENSG00000010610	CD4		0.1	0.3						0.3
ENSG00000010626	LRRC23	2	2	2	5	3	0.4	0.9	1	1
ENSG00000010704	HFE	3	1	9	4	4	0.4	0.9	5	3
ENSG00000010803	SCMH1	5	6	9	13	8	8	7	4	7
ENSG00000010810	FYN	5	1	0.2	1		4	0.7	0.3	7
ENSG00000010818	HIVEP2	5	3	1	7	7	9	4	0.9	2
ENSG00000010932	FMO1		0.1	0.1						0.1
ENSG00000011007	TCEB3	19	16	20	19	8	3	18	10	10
ENSG00000011009	LYPLA2	37	40	15	25	17	33	42	44	36
ENSG00000011021	CLCN6	2	2	4	6	1	5	2	2	1
ENSG00000011028	MRC2	4	0.5	12	6	0.3	0.5	0.1	0.3	1
ENSG00000011052	NME1-NME2	0.5	0.7	2	0.3	0.5	2	0.4	0.7	0.3
ENSG00000011083	SLC6A7		0.1						0.1	0.1
ENSG00000011105	TSPAN9	1	5	7	5	1	1	3	3	2
ENSG00000011114	BTBD7	7	5	4	5	5	5	12	5	5
ENSG00000011132	APBA3	2	1	3	4	3	2	1	1	2
ENSG00000011143	MKS1	4	2	5	4	4	3	4	6	5
ENSG00000011198	ABHD5	4	6	3	8	3	13	11	3	4
ENSG00000011201	ANOS1	2	0.5			2		1		0.4
ENSG00000011243	AKAP8L	10	6	10	11	8	13	6	9	11
ENSG00000011258	MBTD1	6	3	5	2	2	3	2	3	3
ENSG00000011260	UTP18	27	19	31	26	21	21	18	31	27
ENSG00000011275	RNF216	4	8	14	12	15	8	6	7	8
ENSG00000011295	TTC19	6	8	11	10	8	4	6	3	11
ENSG00000011304	PTBP1	78	65	89	65	72	74	73	82	64
ENSG00000011332	DPF1	0.1	0.8	0.8	1	0.4	1	2	0.9	0.8
ENSG00000011347	SYT7	0.3	5	1	0.1	0.5	1	14	0.6	6
ENSG00000011376	LARS2	6	10	11	6	6	11	17	5	5
ENSG00000011405	PIK3C2A	11	10	11	10	6	8	11	5	6
ENSG00000011422	PLAUR	9	6	6	7	27	40	6	17	3
ENSG00000011426	ANLN	41	50	77	119	134	111	37	42	53
ENSG00000011451	WIZ	8	6	9	11	16	22	11	17	10
ENSG00000011454	RABGAP1	10	12	11	10	11	9	8	4	14
ENSG00000011478	QPCTL	3	3	11	8	5	12	5	5	4
ENSG00000011485	PPP5C	8	13	12	13	14	22	14	19	9
ENSG00000011523	CEP68	2	3	4	2	1	1	2	1	2
ENSG00000011566	MAP4K3	19	4	5	5	5	5	13	5	7
ENSG00000011590	ZBTB32			0.2	0.2		0.1	0.3	0.1	0.1
ENSG00000011638	TMEM159	9	12	2	8	8	9	10	7	9
ENSG00000011677	GABRA3		4		2					
ENSG00000012048	BRCA1	11	10	11	6	12	7	8	6	11
ENSG00000012061	ERCC1	4	7	22	7	6	9	12	11	6
ENSG00000012124	CD22		2	0.1	0.4	1	2		0.6	0.1
ENSG00000012171	SEMA3B	5	2	3	1	4	32	3	45	2
ENSG00000012174	MBTPS2	2	6	12	4	6	4	2	2	3
ENSG00000012211	PRICKLE3	4	21	8	3	6	10	6	3	9
ENSG00000012223	LTF				0.2		0.3			
ENSG00000012232	EXTL3	2	6	5	5	5	11	7	4	5
ENSG00000012504	NR1H4								0.6	
ENSG00000012660	ELOVL5	14	29	131	48	37	34	33	52	33
ENSG00000012779	ALOX5	4	1		0.8	1	2	6	13	4
ENSG00000012817	KDM5D		3							5
ENSG00000012822	CALCOCO1	5	3	2	7	3	4	1	2	6
ENSG00000012963	UBR7	10	15	16	16	18	21	33	24	24
ENSG00000012983	MAP4K5	7	8	9	9	10	8	12	5	7
ENSG00000013016	EHD3	0.6	3	0.2				0.7		2
ENSG00000013275	PSMC4	36	47	68	67	46	91	53	51	76
ENSG00000013288	MAN2B2	9	4	4	14	7	9	3	5	8
ENSG00000013297	CLDN11	0.5	0.1	51	3	0.3	0.1	0.1	0.5	0.4
ENSG00000013306	SLC25A39	64	77	55	47	48	37	55	59	61
ENSG00000013364	MVP	39	19	22	42	96	14	19	122	45
ENSG00000013374	NUB1	13	21	20	22	28	21	9	19	25
ENSG00000013375	PGM3	6	4	7	10	8	5	2	2	5
ENSG00000013392	RWDD2A	1	1	1	2	0.5	0.8	0.3	0.2	1
ENSG00000013441	CLK1	12	6	6	10	11	8	6	11	10
ENSG00000013503	POLR3B	3	8	4	3	4	4	5	6	3
ENSG00000013523	ANGEL1	2	7	9	5	5	6	11	3	6
ENSG00000013561	RNF14	4	11	18	10	9	8	6	13	14
ENSG00000013563	DNASE1L1	6	10	5	9	5	4	11	8	9
ENSG00000013573	DDX11	11	17	8	18	12	15	14	15	13
ENSG00000013583	HEBP1	12	8	13	22	11	4	12	6	7
ENSG00000013588	GPRC5A	194	122	141	180	59	62	46	81	85
ENSG00000013619	MAMLD1	0.8	1	0.1	15	9	4	0.6	1	0.9
ENSG00000013725	CD6	0.1	0.3				0.3		0.1	0.4
ENSG00000013810	TACC3	26	22	20	38	22	35	15	17	25
ENSG00000014123	UFL1	9	8	12	9	9	8	5	10	11
ENSG00000014138	POLA2	11	12	6	12	8	7	14	10	18
ENSG00000014164	ZC3H3	7	11	6	13	12	10	11	10	12
ENSG00000014216	CAPN1	120	104	23	30	41	66	100	60	152
ENSG00000014257	ACPP	0.5	2			0.2		0.5	0.4	0.6
ENSG00000014641	MDH1	20	42	42	22	13	23	28	26	24
ENSG00000014824	SLC30A9	10	9	12	17	9	11	10	6	12
ENSG00000014914	MTMR11	3	4	5	9	6	2	2	8	4
ENSG00000014919	COX15	13	16	23	17	10	11	12	12	10
ENSG00000015133	CCDC88C	10	2	2	6	2	5	12	2	11
ENSG00000015153	YAF2	0.9	1	0.8	0.8	1	1	0.9	1	1
ENSG00000015171	ZMYND11	10	7	18	22	22	9	13	13	12
ENSG00000015285	WAS	0.1	0.5	0.7	0.1	0.2	0.3	0.1	0.2	0.4
ENSG00000015413	DPEP1						0.1		0.5	0.1
ENSG00000015475	BID	15	7	12	10	9	11	13	6	23
ENSG00000015479	MATR3	24	26	39	28	24	18	26	29	31
ENSG00000015520	NPC1L1								0.1	
ENSG00000015532	XYLT2	8	6	7	7	5	4	8	8	10
ENSG00000015568	RGPD5						0.1			
ENSG00000015676	NUDCD3	7	12	15	23	29	14	10	14	13
ENSG00000016082	ISL1	0.3	1		6	0.5	0.4	0.4	0.9	0.3
ENSG00000016391	CHDH	1	1	1			2	1	0.1	1
ENSG00000016402	IL20RA	2	0.4		0.1	0.5	9	6	4	1
ENSG00000016602	CLCA4							9		
ENSG00000016864	GLT8D1	5	7	9	8	5	10	11	6	7
ENSG00000017260	ATP2C1	19	16	18	25	24	14	35	18	17
ENSG00000017427	IGF1	0.2								
ENSG00000017483	SLC38A5	13	0.1			17	0.6	41	49	0.2
ENSG00000017797	RALBP1	34	56	38	50	20	63	24	12	33
ENSG00000018189	RUFY3	2	1	2	1	1	1	1	1	1
ENSG00000018236	CNTN1	0.2	0.4				0.1			
ENSG00000018280	SLC11A1	0.1	0.1	0.1	0.1	0.2	0.1	0.1	0.1	0.1
ENSG00000018408	WWTR1	7	7	38	18	28	11	24	26	33
ENSG00000018510	AGPS	13	10	14	17	18	16	14	13	12
ENSG00000018610	CXorf56	14	16	16	11	11	10	13	7	14
ENSG00000018625	ATP1A2		0.1							0.1
ENSG00000018699	TTC27	10	9	14	10	5	9	10	11	8
ENSG00000018869	ZNF582			0.1	0.6	0.4				0.5
ENSG00000019102	VSIG2	101	0.3	0.1	0.2	0.1	0.6	25	0.7	0.9
ENSG00000019144	PHLDB1	5	3	2	6	3	4	11	1	7
ENSG00000019169	MARCO		0.9				3			
ENSG00000019186	CYP24A1	2	7	0.1	0.2		1	6		0.6
ENSG00000019485	PRDM11	0.4	2	0.7	1	1	0.8	1	2	1
ENSG00000019505	SYT13	0.1	0.7			1	2	0.1	0.6	7
ENSG00000019549	SNAI2	2	5	2	14	18	16	33	57	12
ENSG00000019582	CD74	37	11	0.4	92	213	2	0.1	65	209
ENSG00000019995	ZRANB1	3	2	4	6	3	2	3	3	4
ENSG00000020129	NCDN	8	14	8	11	5	8	11	10	6
ENSG00000020181	ADGRA2	0.1	0.3	1	0.6	0.1	0.5	0.4	0.2	0.1
ENSG00000020256	ZFP64	3	5	3	2	5	5	4	5	5
ENSG00000020426	MNAT1	7	10	10	7	5	8	11	6	9
ENSG00000020577	SAMD4A	2	0.9	0.8	9	2	4	7	1	1
ENSG00000020633	RUNX3		2				0.1		11	5
ENSG00000020922	MRE11A	11	7	9	7	5	6	6	2	9
ENSG00000021300	PLEKHB1	1	3		0.9	0.1	0.4	0.1	0.2	20
ENSG00000021355	SERPINB1	29	27	26	14	50	14	23	33	23
ENSG00000021461	CYP3A43		0.1	0.1						
ENSG00000021488	SLC7A9		0.1	0.1			0.1		0.3	0.1
ENSG00000021574	SPAST	5	3	8	5	3	4	4	3	4
ENSG00000021645	NRXN3		0.2		0.1					
ENSG00000021762	OSBPL5	2	0.4	2	2	5	8	3	27	7
ENSG00000021776	AQR	7	8	9	4	5	6	5	6	6
ENSG00000021826	CPS1	1	0.1	4	2	0.9	0.2	0.4		0.1
ENSG00000022267	FHL1	0.1	13	2	11	22	0.2	0.2		0.4
ENSG00000022277	RTFDC1	20	40	26	33	40	41	58	54	26
ENSG00000022556	NLRP2	0.7	27				0.2	21	4	18
ENSG00000022567	SLC45A4	7	2	3	4	3	12	5	3	6
ENSG00000022840	RNF10	45	36	32	23	24	38	25	20	22
ENSG00000022976	ZNF839	1	2	3	4	3	2	2	2	2
ENSG00000023041	ZDHHC6	22	20	15	28	18	30	15	23	25
ENSG00000023171	GRAMD1B		0.3	5		0.1	0.2		9	1
ENSG00000023191	RNH1	22	11	19	21	21	24	36	41	25
ENSG00000023228	NDUFS1	9	9	17	10	15	11	11	13	9
ENSG00000023287	RB1CC1	9	9	15	15	8	14	4	4	10
ENSG00000023318	ERP44	12	22	11	11	21	14	13	10	16
ENSG00000023330	ALAS1	33	24	31	34	15	39	34	27	14
ENSG00000023445	BIRC3	23	4	3	8	4	4	0.2	0.6	4
ENSG00000023516	AKAP11	7	5	9	13	14	9	8	6	5
ENSG00000023572	GLRX2	7	8	10	5	5	4	7	8	3
ENSG00000023608	SNAPC1	3	7	10	14	8	6	9	5	6
ENSG00000023697	DERA	11	17	20	28	16	9	17	12	12
ENSG00000023734	STRAP	55	110	160	165	78	57	94	56	51
ENSG00000023839	ABCC2	0.1	10	9	0.2	0.3	0.3	0.1	0.6	0.6
ENSG00000023892	DEF6	6	4	20	8	5	11	21	10	5
ENSG00000023902	PLEKHO1	0.7	0.4	2	2	0.6	0.1	0.2		0.7
ENSG00000023909	GCLM	3	13	43	14	12	7	7	2	4
ENSG00000024048	UBR2	6	6	13	8	11	4	6	5	20
ENSG00000024422	EHD2	17	46	31	73	51	49	65	49	1
ENSG00000024526	DEPDC1	12	13	15	7	9	12	5	3	5
